MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
967.233770752,449.647793579,10.1292595863,-0.412886674702,-4.41186082363,0.496772517636,-999.0
956.983001709,538.214807129,10.1973553658,-0.742540940642,-1.32022556365,0.814668766409,-999.0
943.969085693,652.051287842,9.94495477676,-0.973170167208,2.64145735189,1.0121848017,-999.0
927.893157959,794.851409912,10.4045944214,-2.74015643597,6.63803863525,1.86475691795,-999.0
908.41907959,971.719335937,11.5077874184,-6.34163208008,10.3698765278,1.11225727201,-999.0
885.14765625,1188.54294434,11.6903906822,-8.17685475349,11.2490529537,-2.67127209902,-999.0
857.719403076,1451.29967041,11.0333568573,-9.91742773056,11.9809182167,-7.10542349815,-999.0
826.180877686,1762.75639648,9.52429533005,-11.8703819275,14.1939630508,-11.0529797554,-999.0
790.96307373,2122.61142578,7.50895023346,-14.4070841789,16.8964787483,-14.2268500328,-999.0
752.537689209,2530.74333496,5.12562031746,-16.8340070724,18.7642606735,-16.8138660431,-999.0
711.403973389,2987.12128906,2.35975673199,-19.2131971359,21.0628847122,-19.8286363602,-999.0
668.078509521,3491.70053711,-0.994830232859,-17.2751835823,23.2247026443,-22.051540184,-999.0
623.092144775,4044.35949707,-4.74014348984,-15.2523900032,25.4896160126,-24.1954421997,-999.0
578.170294189,4628.84814453,-8.53330602646,-18.5863018036,28.8909854889,-25.9853338242,-999.0
535.352087402,5220.90234375,-12.3761458397,-25.1414331436,31.5055614471,-29.2632188797,-999.0
495.152670288,5812.20166016,-16.5681020737,-30.4976915359,31.4326309204,-35.0953115463,-999.0
457.433499146,6402.27558594,-21.0502264023,-32.9271121979,29.8955257416,-41.4822574615,-999.0
422.058602905,6990.74936523,-25.8191314697,-34.9420280457,30.0597581863,-45.705015564,-999.0
388.907803345,7577.1331543,-30.7928312302,-38.3794246674,31.4712745667,-48.705758667,-999.0
357.875222778,8160.87578125,-35.9393814087,-43.4810962677,32.1070068359,-50.8945491791,-999.0
328.844049072,8741.85869141,-41.1681163788,-49.3723075867,32.2862230301,-52.453956604,-999.0
