MEM = DETERMINISTIC
TIME = 160503/0000
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
200.85,11809.24,-60.78,-65.15,-27.4241110835,-35.4570668831,0.0
178.8,12531.96,-60.48,-68.79,-14.7095466102,-31.7470221051,0.0
158.62,13283.92,-56.03,-79.72,4.00731030527,-17.9866503987,0.0
140.21,14065.97,-57.0,-85.24,5.27220683043,-20.0394490454,0.0
123.33,14878.92,-55.82,-83.76,11.4146496146,-15.7340050307,0.0
107.99,15723.54,-55.58,-84.6,8.19706434111,-15.3452907356,0.0
94.09,16600.44,-55.47,-86.65,13.6040300618,-4.67362232245,0.0
81.6,17505.85,-56.33,-86.18,15.6318588639,-5.70189327723,0.0
70.6,18425.02,-55.92,-86.24,15.7247553936,-5.38072110176,0.0
61.06,19346.68,-56.68,-86.74,15.272200673,-5.60999849661,0.0
52.77,20270.0,-56.55,-86.95,12.6996104164,-5.25256218547,0.0
45.61,21194.61,-56.38,-86.48,9.62993003856,-4.4618958051,0.0
39.43,22120.19,-55.82,-86.12,8.02182961949,-3.536376127,0.0
34.09,23046.45,-55.27,-86.39,7.44852210878,-2.88909132409,0.0
29.48,23973.18,-54.16,-86.98,7.25757375383,-3.82324754819,0.0
25.52,24900.17,-52.75,-87.39,7.62875849346,-3.36786484455,0.0
22.12,25827.33,-51.27,-87.8,8.57693719511,-2.38665758695,0.0
19.18,26754.56,-49.55,-88.37,10.5148681855,-2.03817031635,0.0
16.66,27681.82,-48.22,-88.96,12.4126825516,-2.14181157604,0.0
14.47,28609.09,-46.89,-89.56,12.9653943275,-2.76534154915,0.0
12.59,29536.36,-45.09,-90.07,12.992450568,-3.48374716858,0.0


MEM = DETERMINISTIC
TIME = 160503/0900
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
966.05,420.5,5.76,4.29,5.65773850304,-1.77194339409,0.0
959.84,473.6,9.33,5.69,7.64269460614,-1.96799882209,0.0
952.28,539.27,10.17,5.78,6.99758425929,-0.0598455926707,0.0
943.32,617.95,10.07,4.89,4.75504125901,2.12802879724,0.0
932.92,710.1,9.91,3.43,4.14604353151,3.61555018977,0.0
921.09,816.15,9.48,3.03,6.36368034801,4.2264183499,0.0
907.81,936.53,9.05,2.58,9.57535217964,6.34740523944,0.0
893.11,1071.68,8.33,2.04,11.1696148592,8.81490129572,0.0
876.98,1222.02,7.37,1.29,10.7782421134,10.5806613868,0.0
859.45,1387.97,6.29,0.21,9.69012006772,12.6558296645,0.0
840.56,1569.95,5.22,-1.19,8.9628161279,14.2492510897,0.0
820.34,1768.36,4.0,-2.9,7.86017336367,12.5545144626,0.0
798.86,1983.62,2.58,-4.64,6.28312785225,10.5567948278,0.0
776.16,2216.12,0.98,-4.76,4.54191623543,8.59268770193,0.0
752.33,2466.26,-0.24,-6.77,2.92751900319,3.03683371319,0.0
727.55,2734.44,0.24,-16.34,-1.81677352036,-9.58748333512,0.0
701.9,3021.02,-1.43,-17.77,-3.73206836275,-10.4118094603,0.0
675.42,3326.4,-2.66,-24.56,-4.0358206121,-12.3622199154,0.0
648.21,3650.96,-4.72,-27.53,-2.66061311833,-14.175805941,0.0
620.35,3995.08,-6.57,-30.29,-3.07946841407,-16.1738096222,0.0
591.97,4359.14,-8.73,-33.53,-5.87959320704,-18.9353846201,0.0
563.17,4743.54,-11.22,-34.04,-8.40436009187,-22.4665277179,0.0
534.03,5148.68,-14.31,-29.3,-9.01612978609,-24.4787521402,0.0
504.66,5574.99,-17.38,-20.18,-9.866090546,-26.8586372648,0.0
475.22,6022.92,-20.29,-25.99,-11.1785631952,-25.5138588176,0.0
445.81,6492.97,-23.58,-31.2,-12.5922152002,-25.7152684651,0.0
416.52,6985.64,-27.63,-36.2,-12.2471625538,-30.7757604733,0.0
387.43,7501.47,-32.03,-38.75,-12.9834323901,-33.18094472,0.0
358.67,8041.03,-36.39,-43.13,-16.1578289557,-37.3385396594,0.0
330.4,8604.87,-40.77,-47.45,-20.5305458124,-39.3214443319,0.0
302.75,9193.58,-45.33,-51.64,-24.6541075071,-41.7876308456,0.0
275.84,9807.78,-50.18,-54.99,-27.5908554333,-48.040158484,0.0
249.79,10448.0,-55.13,-59.72,-29.7232893419,-53.9771663813,0.0
224.77,11114.88,-59.44,-64.46,-31.3715326766,-57.3963680051,0.0
201.01,11809.24,-62.01,-67.49,-27.3524335999,-46.3796694153,0.0
178.8,12531.96,-62.23,-68.14,-11.1640839491,-37.1176631464,0.0
158.44,13283.92,-58.29,-74.76,-2.90558533172,-29.110210968,0.0
139.96,14065.97,-56.69,-83.22,6.40721151322,-19.8489525819,0.0
123.11,14878.92,-56.38,-83.47,7.00238352051,-14.9010693723,0.0
107.74,15723.54,-56.75,-83.42,12.2095879038,-8.85776810093,0.0
93.79,16600.44,-57.35,-84.8,18.8170554183,-6.66716506621,0.0
81.25,17505.85,-57.65,-85.63,19.002695684,-9.63227877075,0.0
70.25,18425.02,-56.5,-86.33,17.2119884322,-9.24059370772,0.0
60.75,19346.68,-56.04,-86.46,15.3884172549,-8.4843530191,0.0
52.53,20270.0,-56.35,-86.46,13.6703828798,-5.90154462926,0.0
45.4,21194.61,-56.14,-86.29,13.1748934504,-2.18108946711,0.0
39.25,22120.19,-55.85,-86.26,13.2532934131,-4.96047702594,0.0
33.94,23046.45,-54.53,-86.48,10.8325248438,-8.9232954567,0.0
29.37,23973.18,-53.44,-87.03,9.69453700951,-5.60165650421,0.0
25.43,24900.17,-53.01,-87.43,9.77690845541,-3.60107717239,0.0
22.03,25827.33,-52.27,-87.87,11.0437623001,-4.09836431136,0.0
19.09,26754.56,-51.01,-88.27,10.9888098167,-5.66446313268,0.0
16.56,27681.82,-48.83,-88.97,10.294013811,-5.01183288692,0.0
14.39,28609.09,-47.12,-89.68,9.23053900488,-3.50819646457,0.0
12.52,29536.36,-45.49,-90.2,8.80503508702,-2.2869768867,0.0


MEM = DETERMINISTIC
TIME = 160503/1200
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
966.9,420.5,4.44,3.43,5.90810563169,0.494040692049,0.0
960.67,473.6,8.8,5.49,10.1532201329,-0.813341709925,0.0
953.1,539.27,10.35,5.83,11.6379565621,-1.3959833413,0.0
944.14,617.95,10.23,5.67,12.2888345632,-1.15947294348,0.0
933.73,710.1,9.49,5.3,12.9590907134,-1.08364991141,0.0
921.86,816.15,8.54,5.02,13.2694106271,-1.10493496948,0.0
908.53,936.53,7.49,4.32,13.4042279041,-1.1255844657,0.0
893.73,1071.68,6.7,2.64,13.6322759338,-0.607117561269,0.0
877.51,1222.02,6.22,1.19,13.7982316837,0.788352494403,0.0
859.92,1387.97,5.91,0.33,13.1815414816,1.74006404961,0.0
841.02,1569.95,5.62,-1.31,12.3864643642,2.06389476012,0.0
820.85,1768.36,5.14,-3.92,11.7223198255,2.96184945166,0.0
799.45,1983.62,4.17,-5.65,10.8704436681,1.81908840529,0.0
776.88,2216.12,3.3,-10.07,6.86626664582,-5.26105981936,0.0
753.23,2466.26,2.55,-14.2,3.52953454339,-10.2563273656,0.0
728.58,2734.44,1.5,-22.31,3.84409409467,-13.7402178642,0.0
703.02,3021.02,-0.03,-25.72,4.29928639992,-16.9781534173,0.0
676.6,3326.4,-1.79,-26.73,2.33329591256,-19.1412487229,0.0
649.44,3650.96,-3.61,-22.16,-0.152820287295,-19.457283218,0.0
621.62,3995.08,-6.04,-22.62,-0.480881878123,-23.7489115777,0.0
593.22,4359.14,-8.87,-13.92,-2.70258090384,-29.1883243732,0.0
564.38,4743.54,-11.21,-14.35,-4.84353071671,-33.6117746415,0.0
535.23,5148.68,-13.79,-17.73,-5.31539309055,-33.5600711765,0.0
505.86,5574.99,-16.96,-21.44,-5.2177163694,-33.3196399236,0.0
476.35,6022.92,-20.59,-24.07,-4.82002498503,-33.9096865738,0.0
446.82,6492.97,-24.3,-27.14,-4.70413387377,-35.3972120051,0.0
417.4,6985.64,-28.12,-31.42,-5.43724305409,-36.2947727848,0.0
388.21,7501.47,-32.18,-35.88,-7.696551624,-38.0677598489,0.0
359.38,8041.03,-36.5,-40.56,-10.5179598954,-40.2064155168,0.0
331.03,8604.87,-41.08,-45.62,-12.8992953974,-42.2180465576,0.0
303.28,9193.58,-45.86,-50.75,-13.9464009056,-45.1092775439,0.0
276.28,9807.78,-50.44,-55.37,-14.2762689159,-49.9187691168,0.0
250.18,10448.0,-54.94,-59.89,-14.2260376701,-55.8516949076,0.0
225.15,11114.88,-59.17,-64.46,-13.890300071,-60.2134444296,0.0
201.38,11809.24,-61.59,-67.53,-11.9258488769,-55.7715740725,0.0
179.19,12531.96,-61.47,-68.15,-5.76663869942,-39.1935930461,0.0
158.73,13283.92,-60.59,-73.39,2.07648771367,-29.4733794081,0.0
140.12,14065.97,-56.57,-82.56,7.53429505942,-21.2526135644,0.0
123.22,14878.92,-57.08,-86.01,13.7451789367,-11.3185688292,0.0
107.83,15723.54,-56.45,-84.33,18.6808031799,-11.9560619136,0.0
93.88,16600.44,-56.86,-84.54,18.9385147676,-12.8368053332,0.0
81.37,17505.85,-56.59,-84.87,18.4822822452,-12.0484482176,0.0
70.39,18425.02,-56.35,-86.03,14.6082663202,-11.3599457495,0.0
60.87,19346.68,-56.06,-86.68,13.2925762639,-7.53283312089,0.0
52.63,20270.0,-56.23,-86.26,12.547519445,-6.50123819572,0.0
45.49,21194.61,-56.52,-86.16,14.0254273923,-2.82292774589,0.0
39.31,22120.19,-56.39,-86.22,13.7604026335,-7.28575815717,0.0
33.99,23046.45,-54.9,-86.45,8.75438299027,-8.92097424015,0.0
29.4,23973.18,-54.24,-87.08,6.79447319239,-7.05803636157,0.0
25.45,24900.17,-53.31,-87.44,5.9509541496,-8.09827961247,0.0
22.04,25827.33,-52.4,-87.63,7.44793122517,-6.51328564269,0.0
19.1,26754.56,-51.04,-87.97,9.68779632941,-5.45656522735,0.0
16.57,27681.82,-49.72,-88.85,10.0599582708,-4.91526632141,0.0
14.38,28609.09,-47.87,-89.77,10.0066012971,-4.08361834744,0.0
12.5,29536.36,-46.15,-90.39,10.6883997616,-4.31622397587,0.0


MEM = DETERMINISTIC
TIME = 160503/1500
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
965.98,420.5,12.78,7.64,7.66380931845,-1.19189953114,0.0
959.89,473.6,12.13,7.47,8.25521929242,-1.42889173764,0.0
952.39,539.27,11.41,7.29,8.8021442327,-1.78121939936,0.0
943.46,617.95,10.61,7.09,9.49244562487,-2.34386885088,0.0
933.09,710.1,10.85,5.49,12.7096314881,-6.90076685677,0.0
921.3,816.15,10.66,4.33,13.6765012356,-9.9803906755,0.0
908.08,936.53,9.8,3.46,13.8311141606,-11.5195607669,0.0
893.4,1071.68,8.72,2.22,12.9615629276,-12.7684576645,0.0
877.28,1222.02,7.6,0.66,11.6266210112,-12.6793418417,0.0
859.76,1387.97,6.61,-1.35,11.9183222657,-12.3245535641,0.0
840.9,1569.95,6.29,-4.46,12.7063076627,-13.8519334583,0.0
820.78,1768.36,6.24,-8.85,10.4476355832,-18.0521519131,0.0
799.46,1983.62,5.57,-13.36,4.96585123231,-19.2153565356,0.0
776.98,2216.12,4.63,-16.57,3.07801974581,-19.3900433907,0.0
753.41,2466.26,3.26,-20.05,2.7970941075,-20.9632452656,0.0
728.79,2734.44,1.72,-20.64,2.03536462726,-23.217651538,0.0
703.24,3021.02,0.06,-13.24,3.27846429753,-23.0356908233,0.0
676.84,3326.4,-1.92,-8.37,2.78871658345,-23.8830948873,0.0
649.68,3650.96,-3.95,-10.62,1.08216154992,-25.9277503661,0.0
621.87,3995.08,-5.84,-14.6,-1.28346281626,-33.409481483,0.0
593.52,4359.14,-8.01,-17.05,-1.69219704884,-36.6996685408,0.0
564.74,4743.54,-10.32,-19.73,-0.356578860005,-37.1451567351,0.0
535.65,5148.68,-13.09,-22.9,0.214061375695,-37.1656901946,0.0
506.31,5574.99,-16.51,-25.35,0.140468879526,-36.5828836206,0.0
476.81,6022.92,-20.45,-26.82,0.212242853876,-35.7661088769,0.0
447.24,6492.97,-24.5,-28.32,0.703086826048,-35.3320980248,0.0
417.77,6985.64,-28.23,-31.66,-0.4719721584,-36.5412285064,0.0
